Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3385Kx5khQ1JpCVFJjKAPa,リモコン-オリジナル ver.-,リモコンプ,Wonderful★opportunity!,20/12/2017,314181,47,FALSE,thesoundsofspotify,2021-03-12T10:57:44Z,vocaloid,KARENT,0.628,0.87,8,-4.469,0,0.0617,0.178,0,0.12,0.965,165.042,4
spotify:track:2qYxJfoQjTIzGOaIbttjkI,踊れオーケストラ,音絵本-OTOEHON-,YASUHIRO,29/4/2016,242666,38,FALSE,thesoundsofspotify,2022-06-01T03:27:10Z,vocaloid,U&R records,0.558,0.92,2,-3.305,1,0.0459,0.0457,0,0.224,0.705,180.019,4
spotify:track:0vFkqQJ4CKuNDx4NaJvrTt,snooze (feat. SHIKI),snooze (feat. SHIKI),wotaku;SHIKI,30/8/2021,178000,52,FALSE,thesoundsofspotify,2021-12-31T12:57:02Z,vocaloid,wotaku,0.558,0.973,0,-3.242,1,0.0819,0.0452,0.164,0.304,0.432,149.976,4
spotify:track:20q0R0wiT2p4Wy2ba3kaMN,花が落ちたので、,独りに花を添え,一二三,30/5/2019,256866,44,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,一二三,0.61,0.926,9,-3.178,0,0.0446,0.00545,0.0000207,0.212,0.863,119.99,4
spotify:track:38mUTswfszVFQ952r89AP8,千本桜,千本桜,KuroUsa(WhiteFlame),29/2/2012,252467,60,FALSE,thesoundsofspotify,2017-07-30T03:18:47Z,vocaloid,KarenT,0.475,0.938,2,-3.129,0,0.0378,0.00644,0.00005,0.367,0.945,154.019,4
spotify:track:25tNraNmMNwSEccFVcXxnu,Intergalactic Bound (feat. Hatsune Miku),Intergalactic Bound,Yunosuke;CircusP;Hatsune Miku,15/3/2024,211500,47,FALSE,thesoundsofspotify,2024-03-22T22:14:35Z,vocaloid,KARENT,0.682,0.869,1,-4.535,0,0.0547,0.108,0.0997,0.31,0.81,140.007,4
spotify:track:6OQJC64u98rHcAQaWXCfdn,オルターエゴ,オルターエゴ,Misumi,3/3/2021,222954,46,FALSE,thesoundsofspotify,2023-06-30T19:34:15Z,vocaloid,KAMITSUBAKI RECORD,0.482,0.889,0,-5.325,1,0.0392,0.0782,0.000965,0.392,0.55,175.997,4
spotify:track:0dt8ev3Jebpwk6Z1eNYJaS,カルチャ (feat. 初音ミク),カルチャ,ツミキ;Hatsune Miku,16/10/2022,151133,46,FALSE,thesoundsofspotify,2023-07-21T22:16:08Z,vocaloid,KARENT,0.516,0.838,0,-7.148,1,0.0841,0.000725,0.0022,0.353,0.735,171.926,4
spotify:track:6YSFQShQdR87tMaQEtUfHo,takt,takt,ryo (supercell);Mafumafu;gaku,5/10/2021,237500,51,FALSE,thesoundsofspotify,2021-10-08T15:29:24Z,"vocaloid,j-pop,j-rock,anime",©2021 ryo (supercell),0.482,0.762,0,-4.371,1,0.0551,0.0175,0.00000347,0.519,0.435,90.495,3
spotify:track:7qdIR2jTfgOvsQSWHPjjIJ,Just Be Friends,Just Be Friends,Dixie Flatline,12/8/2009,301469,45,FALSE,thesoundsofspotify,2017-02-19T00:10:28Z,vocaloid,KarenT,0.689,0.918,0,-4.5,1,0.0428,0.00492,0,0.339,0.844,128.004,4
spotify:track:0WqE9VjtUmgohp92X7xiq9,白い雪のプリンセスは,EXIT TUNES PRESENTS Supernova(スーパーノヴァ)2 ジャケットイラスト:redjuice,Noboru,3/3/2010,262000,39,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,エグジットチューンズ,0.531,0.874,11,-4.497,1,0.0299,0.00208,0.000303,0.0898,0.753,99.988,4
spotify:track:4wuJ2YTxkHsj2o9u80c0Jj,​ひつじがいっぴき,​ひつじがいっぴき,Peg,17/3/2023,183472,36,FALSE,thesoundsofspotify,2023-03-31T18:18:27Z,vocaloid,U&R records,0.585,0.858,3,-2.987,0,0.228,0.262,0,0.325,0.909,99.405,4
spotify:track:5rphHpZnxY9EGg8CdWSXPp,ハッピーシンセサイザ,ベリーイージー,EasyPop,1/9/2015,236581,53,FALSE,thesoundsofspotify,2018-11-02T17:23:05Z,vocaloid,U&R records,0.621,0.94,5,-2.298,1,0.0291,0.0354,0,0.125,0.943,126.993,4
spotify:track:5v6X89ub41du3FhUI41sao,ブリキノダンス,ブラックホールディスク,日向電工,22/2/2017,202053,0,FALSE,thesoundsofspotify,2024-02-02T21:19:04Z,vocaloid,NBCUniversal Entertainment,0.532,0.974,5,-2.507,0,0.0812,0.00743,0,0.122,0.937,171.955,4
spotify:track:6VVTOoblmGJDgLJOyOBwDF,Ifuudoudou,Exit Tunes Presents Kamikyoku Wo Utattemita 7,UMETORA,1/8/2015,202000,0,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,EXIT TUNES,0.673,0.942,5,-5.163,0,0.107,0.00557,0,0.36,0.793,130.003,4
spotify:track:3wM3VFL0nuEhwATHcJfPSm,春嵐,ROSE,John,22/12/2019,161872,55,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,john,0.625,0.978,0,-0.227,0,0.048,0.335,0,0.0281,0.981,139.985,4
spotify:track:3nmWtDD1yyHR4EEBUSmUK0,サンドリヨン,SIGNALOID BOX,Dios/signalP,11/3/2009,277013,43,FALSE,thesoundsofspotify,2019-12-13T16:37:27Z,vocaloid,KarenT,0.592,0.92,4,-4.101,0,0.0421,0.112,0.0000256,0.0905,0.581,146.988,4
spotify:track:4fVpq7VIeCBtNfYaHaAFXM,セツナトリップ,first trip,Last Note.,9/12/2015,251378,39,FALSE,thesoundsofspotify,2018-06-29T17:14:40Z,vocaloid,KARENT,0.393,0.965,5,-4.371,0,0.199,0.000575,0.0000246,0.0345,0.576,144.92,4
spotify:track:7v5xPGDLbGMLqSnPfIrRgK,ポジティブ☆ダンスタイム,ポジティブ☆ダンスタイム,kinoshita,2017,242000,46,FALSE,thesoundsofspotify,2021-01-15T12:03:30Z,vocaloid,KARENT,0.321,0.922,6,-1.484,1,0.0501,0.227,0.0000157,0.14,0.527,104.21,4
spotify:track:4xoUIHWTXX6XJpwsqUuEIl,the WALL (feat. 初音ミク),THE WALL,buzzG;Hatsune Miku,27/4/2024,241306,20,FALSE,thesoundsofspotify,2024-05-03T18:18:55Z,"vocaloid,kompa",KARENT,0.352,0.979,8,-3.76,1,0.146,0.0253,0,0.0808,0.425,183.078,4
spotify:track:2gbVuqze7bpndIy1q9rFvv,グッバイ宣言,The Deluge,Chinozo,15/11/2020,172790,48,FALSE,thesoundsofspotify,2021-02-12T11:02:05Z,vocaloid,Chinozo,0.542,0.743,9,-11.51,0,0.0781,0.0324,0,0.267,0.916,169.916,3
spotify:track:5UX2XYxGf9s10kmkSObPpA,Online Game Addicts Sprechchor feat.Hatsune Miku,Jinchikumugai Satsuki ga Tenkomori feat.Hatsune Miku,Satsuki ga Tenkomori;Hatsune Miku,27/6/2012,291693,39,FALSE,thesoundsofspotify,2021-03-05T10:40:56Z,vocaloid,U&R records,0.548,0.983,7,-3.531,1,0.0497,0.246,0.00000321,0.356,0.802,175.004,4
spotify:track:38XY1ShCSiYwDaV51sFPT9,マーシャル・マキシマイザー,KAF+YOU KAFU COMPILATION ALBUM シンメトリー,柊マグネタイト;Kafu,18/12/2021,163686,54,FALSE,thesoundsofspotify,2023-07-14T21:42:24Z,vocaloid,KAMITSUBAKI RECORD,0.679,0.872,10,-5.489,0,0.0565,0.0387,0.000338,0.575,0.529,95.024,4
spotify:track:5m2oEhLbd8VG7rnhzrpcll,スキスキ絶頂症,Resonance,koyori;Nameless,20/6/2018,216013,7,FALSE,thesoundsofspotify,2019-08-28T14:49:01Z,vocaloid,インペリアルレコード,0.553,0.964,6,-2.172,1,0.119,0.0275,0.00107,0.174,0.696,117.038,4
spotify:track:33RRBwJwCvjuFkZAaSXfjX,ラブカ？,スクラップファーム,柊キライ,25/1/2023,185375,44,FALSE,thesoundsofspotify,2024-05-24T23:07:14Z,vocaloid,U&R records,0.751,0.772,2,-5.373,1,0.274,0.24,0.00000808,0.0372,0.665,134.97,4
spotify:track:3ZOjNTwS1sOLyA4qkocF3c,ゴチャゴチャうるせー！,ボーナス＼(^o^)／,Owata-P,26/6/2019,160451,60,FALSE,thesoundsofspotify,2021-08-20T17:21:22Z,vocaloid,KARENT,0.674,0.987,7,-3.197,1,0.0628,0.1,0.0000202,0.065,0.545,110.026,4
spotify:track:7rulpDP9BnLMpBOlPF1Ucb,三日月ステップ,三日月ステップ,r-906,3/11/2020,189700,50,FALSE,thesoundsofspotify,2022-04-01T17:37:14Z,vocaloid,r-906,0.658,0.852,8,-7.218,1,0.0438,0.00153,0.00181,0.115,0.96,167.001,4
spotify:track:3ceq5YHhGDru638Y3l1ZXB,愛の詩,I say love,LamazeP,26/9/2014,219000,57,FALSE,thesoundsofspotify,2017-02-12T00:06:14Z,vocaloid,KARENT,0.596,0.928,8,-4.984,1,0.0478,0.195,0.00022,0.0333,0.965,179.957,4
spotify:track:2FRMwFXODegegRrfLAeVwx,エゴロック - long ver.,エゴロック (long ver.),THREEE,7/9/2021,169529,55,TRUE,thesoundsofspotify,2021-10-01T15:27:19Z,vocaloid,すりぃ,0.537,0.99,0,-2.534,0,0.199,0.0435,0,0.257,0.433,112.574,4
spotify:track:7HIy8ajP3ldKI9txACAzzy,Blackjack,Trump,yuchaP,21/9/2011,158926,43,FALSE,thesoundsofspotify,2017-02-19T00:10:28Z,vocaloid,KarenT,0.445,0.903,8,-3.169,1,0.0402,0.000689,0,0.213,0.71,114.09,4
spotify:track:10aURDc5wCO14NOKOHeBC0,ドクター＝ファンクビート,カドワナルカ＝シアノタイプ,nyanyannya,4/7/2018,210217,36,FALSE,thesoundsofspotify,2020-09-16T21:00:51Z,vocaloid,KARENT,0.505,0.889,9,-3.357,0,0.074,0.064,0.00000533,0.316,0.781,150.043,4
spotify:track:6NOVN6EGoqaKqqa3EwHa09,Bad ∞ End ∞ Night,After the partY,Hitoshizuku and Yama,5/6/2013,248333,47,FALSE,thesoundsofspotify,2018-04-24T21:56:01Z,vocaloid,KARENT,0.503,0.781,1,-3.644,1,0.0554,0.0497,0.000723,0.0577,0.58,203.757,4
spotify:track:24R0kasnPe3126wn3QRTlz,In the Back Room,Rokotsu,syudou,28/6/2023,207266,23,FALSE,thesoundsofspotify,2023-07-07T18:20:33Z,"vocaloid,anime",syudou商店,0.488,0.976,2,-1.625,1,0.174,0.0519,0,0.287,0.58,168.87,4
spotify:track:4yuoWqZccnf2YsaCS2nNQP,秘密警察,秘密警察,Buriru,20/12/2010,210000,43,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,KarenT,0.541,0.942,1,-2.938,0,0.153,0.00029,0.0938,0.339,0.407,99.98,4
spotify:track:12dIZe3xCPeetNkdovFxxk,Nyanyanyanyanyanyanya!,Nyanyanyanyanyanyanya!,daniwellP,31/8/2011,226533,48,FALSE,thesoundsofspotify,2017-02-19T00:10:28Z,vocaloid,KarenT,0.794,0.994,1,-0.964,1,0.115,0.133,0.834,0.0192,0.515,141.991,4
spotify:track:4twG4eeDoEMgCExOOj1Uq6,Calc.,Download feat.初音ミク,jimmythumbP;Megurine Luka,10/12/2014,263853,31,FALSE,thesoundsofspotify,2021-06-04T13:21:32Z,vocaloid,WM Japan,0.615,0.35,6,-10.405,1,0.0321,0.225,0,0.0937,0.295,73.984,4
spotify:track:4Ma1cOB9TjDMiXMK4uGxwA,えれくとりっく・えんじぇぅ -MIKUNOPOLIS in LOS ANGELES Live-,MIKUNOPOLIS in LOS ANGELES “はじめまして、初音ミクです”,Yasuo,10/5/2013,206453,31,FALSE,thesoundsofspotify,2023-01-10T18:19:32Z,vocaloid,KARENT,0.335,0.939,1,-3.334,0,0.0536,0.0115,0.449,0.973,0.636,149.936,4
spotify:track:3va7Q99A1EJk8eAZ2DV74v,Alien Alien,Nayutan Sei Kara No Buttai Y,Nayutalien,31/12/2016,181973,54,FALSE,thesoundsofspotify,2021-08-06T13:32:37Z,vocaloid,Nayutalien,0.52,0.973,7,-0.565,1,0.0868,0.011,0.00000402,0.0629,0.594,151.939,4
spotify:track:6gsd0653qu7ePqE2gXA2ET,ココロ,トラボティック・チューン,Toraboruta,16/12/2008,282865,44,FALSE,thesoundsofspotify,2017-02-19T00:10:28Z,vocaloid,KarenT,0.52,0.966,4,-3.042,0,0.0774,0.137,0.00000637,0.271,0.196,140.006,4
spotify:track:6CIQOFf01zQ9qJaqhD6rlH,ラビットホール,ラビットホール,DECO*27,20/5/2023,159000,66,FALSE,thesoundsofspotify,2024-03-01T21:08:32Z,"vocaloid,j-pop",KARENT,0.513,0.903,9,-4.82,1,0.164,0.000238,0.000852,0.337,0.821,172.98,4
spotify:track:3ODoj5TFDy0DRBBtmuSpRZ,エゴイスト,ave,Parsley Onuma,18/3/2020,219320,58,FALSE,thesoundsofspotify,2023-06-30T19:34:15Z,vocaloid,KAMITSUBAKI RECORD,0.523,0.919,2,-4.258,0,0.267,0.0266,0,0.144,0.903,179.937,4
spotify:track:08Th6KDn0ESaxZis89HxRo,God-ish,META,PinocchioP,17/5/2023,205092,55,FALSE,thesoundsofspotify,2023-05-27T01:05:17Z,vocaloid,mui,0.483,0.851,0,-6.669,0,0.0922,0.269,0.0000147,0.284,0.522,142.087,4
spotify:track:3FY8S1VGJEPw16ejMPILzY,Tell Your World,Re:Upload,livetune;Hatsune Miku,29/5/2013,255826,45,FALSE,thesoundsofspotify,2018-12-21T18:38:06Z,vocaloid,TOY'S FACTORY,0.588,0.977,3,-4.027,1,0.0633,0.168,0,0.2,0.192,150.024,4
spotify:track:0zRJAU4bV3GYa5CVxAKokG,SPiCa,SPiCa,tokuP,12/8/2009,219259,37,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,KarenT,0.516,0.953,0,-2.895,1,0.039,0.0499,0.00000563,0.188,0.655,161.979,4
spotify:track:5so7F3hsNWmSpjyQ4dSr2W,どりーみんチュチュ (feat. 巡音ルカ&初音ミク),どりーみんチュチュ,emon(Tes.);Hatsune Miku;Megurine Luka,30/1/2014,262500,46,FALSE,thesoundsofspotify,2017-02-19T00:10:28Z,vocaloid,KARENT,0.607,0.959,8,-2.577,1,0.0527,0.0202,0.0000035,0.177,0.906,128.046,4
spotify:track:56xCsaFsih5swf7IZXPYzU,きゅうくらりん,きゅうくらりん,いよわ,4/9/2021,217090,53,FALSE,thesoundsofspotify,2021-09-10T18:49:06Z,vocaloid,いよわ,0.67,0.889,1,-8.674,0,0.0441,0.387,0.000607,0.337,0.486,110.015,4
spotify:track:5cAn0MCLfizdk0v7qVlPXx,quiet room,troy,ewe,12/11/2017,219213,38,FALSE,thesoundsofspotify,2022-08-06T04:20:51Z,vocaloid,ewe,0.592,0.871,5,-2.931,1,0.0412,0.687,0.00512,0.204,0.863,93.04,4
spotify:track:2llI6h2T2O5KZfn1OhJQAA,ベノム,ベノム,Kairikibear;flower,2018,203033,55,FALSE,thesoundsofspotify,2022-01-28T16:02:01Z,vocaloid,YOSHIMOTO MUSIC,0.548,0.98,5,-0.471,0,0.1,0.116,0,0.296,0.755,152.111,4
spotify:track:5nE4lvvLfIGZngJ9d22TPM,ワンダーランド地下,ワンダーランド地下,香椎モイミ,15/5/2024,155036,32,FALSE,thesoundsofspotify,2024-05-24T23:07:14Z,vocaloid,ANARCHIC RECORD,0.569,0.968,1,-3.56,1,0.0562,0.041,0.0135,0.192,0.9,136.986,4
spotify:track:3UUG8a3gfmInNu7VKDGoAr,ダブルラリアット,アゴア ゴー ゴー ゴー,Agoaniki,14/12/2011,205000,36,FALSE,thesoundsofspotify,2022-03-11T15:40:56Z,vocaloid,U&R records,0.551,0.917,7,-1.404,1,0.0316,0.248,0,0.351,0.643,138.026,4
spotify:track:0FEXG9Fj3lhH2g5eVwvNJ4,Ice breaker,nevertheless,ねじ式,20/11/2019,241000,29,FALSE,thesoundsofspotify,2021-04-02T15:00:10Z,vocaloid,KARENT,0.594,0.874,5,-2.67,0,0.0694,0.0107,0,0.324,0.899,126.161,4
spotify:track:367IrkRR4wk5WtSL41rONn,劣等上等 feat. 鏡音リン・レン,劣等上等 feat. 鏡音リン・レン,Giga;鏡音リン・レン,22/8/2018,235096,56,FALSE,thesoundsofspotify,2020-12-17T17:39:50Z,vocaloid,Giga,0.554,0.966,6,-1.672,0,0.249,0.00224,0.00143,0.355,0.705,159.943,4
spotify:track:6S19Y83uOkcr86ICn6PBWX,泥中に咲く (feat. 初音ミク),BLOOM IN THE SAME BOAT,HarryP,16/2/2022,286500,33,FALSE,thesoundsofspotify,2023-04-14T21:34:00Z,vocaloid,KARENT,0.434,0.753,8,-4.104,1,0.0364,0.367,0.00000618,0.0773,0.296,170.023,4
spotify:track:6qWYz8lpmQfqAbdrVWcd2G,shake it! -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Emon,25/2/2015,225936,33,FALSE,thesoundsofspotify,2021-01-22T12:59:30Z,vocaloid,KARENT,0.55,0.942,1,-2.67,1,0.0727,0.394,0,0.756,0.601,130.026,4
spotify:track:4P0f1HTaA2UwtLJGryNgJZ,ビバハピ,グレイテスト・アイドル,Mitchie M;Hatsune Miku,6/11/2013,215840,51,FALSE,thesoundsofspotify,2022-08-27T01:12:48Z,vocaloid,Sony Music Direct (Japan) Inc.,0.61,0.989,4,-2.877,0,0.0831,0.0206,0.000157,0.655,0.77,147.991,4
spotify:track:1qfh55N9dvFU1ESAJ3jFQG,ルカルカ★ナイトフィーバー -MIKU EXPO 2014 in INDONESIA Live-,HATSUNE MIKU EXPO 2014 IN INDONESIA [Live],Samfree,6/10/2014,202085,51,FALSE,thesoundsofspotify,2017-02-12T00:06:14Z,vocaloid,KARENT,0.381,0.996,5,-3.345,0,0.201,0.00783,0,0.42,0.283,160.016,4
